Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc2,19,IW,0.8147553550143555,0.5131085631076708,1.1164021469210401,1.0
50,sc2,19,Commensurate,0.8139749687719632,0.5558188959305751,1.0852479078503674,1.0
50,sc2,19,NPE,1.2485650777816772,0.6938149541120381,1.8164760308848997,1.0
50,sc2,20,PSPower,0.818531457257951,0.5229296238052359,1.114133290710666,1.0
50,sc2,20,IW,0.755071270166003,0.4271584897486689,1.082984050583337,1.0
50,sc2,20,Commensurate,0.7730137365371865,0.4935274234601015,1.0420710108594637,1.0
50,sc2,20,NPE,0.7829641103744507,0.18988462991014513,1.352915757540703,1.0
50,sc2,21,PSPower,0.8735781498165825,0.5725873104163035,1.1745689892168616,1.0
50,sc2,21,IW,0.9054672226651576,0.5787905377493121,1.232143907581003,1.0
50,sc2,21,Commensurate,0.8398519765754084,0.5560978115572663,1.12322786416147,1.0
50,sc2,21,NPE,1.004402995109558,0.5330155205067032,1.4506879287090106,1.0
50,sc2,22,PSPower,1.356903000219761,1.017261301728916,1.696544698710606,1.0
