Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc4,37,Commensurate,-0.12852703598705456,-0.3966706093712545,0.12256810315814617,0.0
50,sc4,37,NPE,0.18497677147388458,-0.3611985481977261,0.7232934796709367,0.0
50,sc4,38,PSPower,0.12279201805325334,-0.17001603547327793,0.4156000715797846,0.0
50,sc4,38,IW,0.06058573416802574,-0.26141298546001995,0.3825844537960715,0.0
50,sc4,38,Commensurate,0.11385232596496671,-0.16425200556942313,0.3821509368928163,0.0
50,sc4,38,NPE,0.266591340303421,-0.24953544576124256,0.7809632644581878,0.0
50,sc4,39,PSPower,-0.040364548437999304,-0.4590138316480759,0.3782847347720773,0.0
50,sc4,39,IW,-0.0008580873078283227,-0.4440914938794722,0.44237531926381557,0.0
50,sc4,39,Commensurate,-0.044809756964616324,-0.4082087375562724,0.30802568072809133,0.0
50,sc4,39,NPE,0.4865749478340149,-0.15089323092334658,1.1390078982246914,0.0
50,sc4,40,PSPower,0.29358543456419606,-0.04423118560148487,0.631402054729877,0.0
50,sc4,40,IW,0.3235586512552581,-0.03696663857777854,0.6840839410882948,0.0
50,sc4,40,Commensurate,0.36661804604964554,0.06731656430244706,0.6576540536270735,0.0
50,sc4,40,NPE,0.6983627080917358,0.1567663657774769,1.243776962161432,0.0
50,sc4,41,PSPower,0.18266745853184554,-0.1358475947954552,0.5011825118591463,0.0
50,sc4,41,IW,0.12540907898495654,-0.22491849636838288,0.47573665433829593,0.0
50,sc4,41,Commensurate,0.21052957926603127,-0.08102797828021086,0.4908432185981186,0.0
50,sc4,41,NPE,0.4652201533317566,-0.08813560363273656,1.030534459180364,0.0
50,sc4,42,PSPower,0.14575925672722684,-0.1624980285439137,0.4540165419983674,0.0
50,sc4,42,IW,0.20565475384653306,-0.1496117164886939,0.56092122418176,0.0
50,sc4,42,Commensurate,0.15672540504450871,-0.1365600092154956,0.45126485795713306,0.0
50,sc4,42,NPE,0.3010057210922241,-0.36531237327655475,0.963518771163983,0.0
50,sc4,43,PSPower,0.034665446012088326,-0.2052092695784513,0.27454016160262795,0.0
50,sc4,43,IW,0.024422693053870983,-0.25568477079768726,0.3045301569054292,0.0
50,sc4,43,Commensurate,0.040907763638319126,-0.19664647692702963,0.2637360966752449,0.0
50,sc4,43,NPE,0.46470779180526733,-0.15822517938814162,1.0759037547070454,0.0
50,sc4,44,PSPower,0.10719506615917258,-0.1374767307455389,0.35186686306388404,0.0
50,sc4,44,IW,0.04490756815104946,-0.21225940043965075,0.30207453674174967,0.0
50,sc4,44,Commensurate,0.08176041518090645,-0.1517382638744852,0.31831567165680497,0.0
50,sc4,44,NPE,0.38656020164489746,-0.08580618390194845,0.8516752076631195,0.0
50,sc4,45,PSPower,0.00978964187309726,-0.3203364737385517,0.33991575748474623,0.0
50,sc4,45,IW,-0.004359054167026287,-0.38900054236574555,0.38028243403169293,0.0
50,sc4,45,Commensurate,-0.024822483674148122,-0.3238376526800969,0.27911846395395873,0.0
50,sc4,45,NPE,0.48638927936553955,-0.1336484363705699,1.1080067051649816,0.0
50,sc4,46,PSPower,-0.05194416786036038,-0.3593139880764099,0.25542565235568915,0.0
50,sc4,46,IW,-0.07322333393551159,-0.4208286690834482,0.27438200121242495,0.0
50,sc4,46,Commensurate,-0.0024666025980072293,-0.2858554223049711,0.275156527872045,0.0
50,sc4,46,NPE,0.11025756597518921,-0.5311282680078354,0.7525814160887195,0.0
50,sc4,47,PSPower,0.18085353399536383,-0.08369372985080961,0.4454007978415373,0.0
50,sc4,47,IW,0.25643083399787575,-0.027885416784601824,0.5407470847803533,0.0
50,sc4,47,Commensurate,0.2458196379210943,-0.0114062859234261,0.513388885710573,0.0
50,sc4,47,NPE,0.5528544187545776,0.11828844994246755,0.9751672244117946,0.0
50,sc4,48,PSPower,-0.025054836604212465,-0.30209093488825134,0.2519812616798264,0.0
50,sc4,48,IW,0.036378781353868024,-0.2867700393432521,0.35952760205098816,0.0
50,sc4,48,Commensurate,0.016059722535864764,-0.25343675972687923,0.30229335322001494,0.0
50,sc4,48,NPE,0.552602231502533,-0.25759359107738905,1.3399763190033704,0.0
50,sc4,49,PSPower,-0.19311517814533424,-0.4423068494775052,0.056076493186836746,0.0
50,sc4,49,IW,-0.25139069165704553,-0.5307743773848426,0.027992994070751454,0.0
50,sc4,49,Commensurate,-0.21165983025035498,-0.45982894167524296,0.022932068709104955,0.0
50,sc4,49,NPE,0.12081512063741684,-0.5132745195553423,0.7418877071309505,0.0
50,sc5,0,PSPower,1.286359302187061,1.085116314328438,1.487602290045684,0.0
50,sc5,0,IW,1.1149771422748145,0.852562198799965,1.377392085749664,0.0
50,sc5,0,Commensurate,1.2660270227768955,1.0605660899903044,1.4792013862250593,0.0
50,sc5,0,NPE,0.634566068649292,-0.062125787826376073,1.352946110468641,0.0
50,sc5,1,PSPower,1.0100735490468498,0.7941207735874379,1.2260263245062615,0.0
50,sc5,1,IW,0.7690937938049103,0.47556418836120384,1.0626233992486167,0.0
50,sc5,1,Commensurate,0.981293912482317,0.7367117658300362,1.213939157821742,0.0
50,sc5,1,NPE,0.44429826736450195,-0.2616359128283536,1.1572051290756469,0.0
50,sc5,2,PSPower,1.181435522939619,1.0017367485190702,1.3611342973601677,0.0
50,sc5,2,IW,0.9030708960762965,0.668217843910194,1.137923948242399,0.0
50,sc5,2,Commensurate,0.9887830798219446,0.7624260004711259,1.2164040175034128,0.0
50,sc5,2,NPE,-0.09177811443805695,-0.4886151143642337,0.31088640997641126,0.0
50,sc5,3,PSPower,1.11155993537798,0.9698663077574169,1.253253562998543,0.0
50,sc5,3,IW,0.7561610219482429,0.5662068555711226,0.9461151883253631,0.0
50,sc5,3,Commensurate,0.7802298595238676,0.5761263605342748,0.9797444245346106,0.0
50,sc5,3,NPE,0.21664710342884064,-0.31245049445887507,0.7726803930685019,0.0
50,sc5,4,PSPower,1.2339251952751276,1.0479836370845672,1.419866753465688,0.0
50,sc5,4,IW,1.0482516632078747,0.7895150341759923,1.3069882922397569,0.0
50,sc5,4,Commensurate,1.211683162603974,1.0089840169420479,1.4174365328411325,0.0
50,sc5,4,NPE,0.4775926470756531,-0.04829778529538443,0.9973442877938286,0.0
50,sc5,5,PSPower,1.156297244518391,0.9200713003039025,1.3925231887328795,0.0
50,sc5,5,IW,0.9552857784317347,0.621407423256412,1.2891641336070574,0.0
50,sc5,5,Commensurate,1.1879009477510143,0.9756281130067901,1.394748306726779,0.0
50,sc5,5,NPE,0.36476433277130127,-0.19580754735719957,0.9313914422899453,0.0
50,sc5,6,PSPower,1.3932092308502497,1.2263222995545175,1.560096162145982,0.0
50,sc5,6,IW,1.2181026517444975,0.9855014002542907,1.4507039032347044,0.0
50,sc5,6,Commensurate,1.252697530846738,1.0379846299838453,1.4550983660526797,0.0
50,sc5,6,NPE,0.5588085055351257,-0.05006935639683275,1.1388769131076977,0.0
50,sc5,7,PSPower,1.1949980728688399,0.9732986897581586,1.4166974559795211,0.0
50,sc5,7,IW,0.9625822382684324,0.6616444468060569,1.2635200297308078,0.0
50,sc5,7,Commensurate,1.2287675489892123,1.0211491300301614,1.4343151333276793,0.0
50,sc5,7,NPE,0.5766024589538574,-0.03704597644347523,1.1763990202313725,0.0
50,sc5,8,PSPower,1.1781279038972752,0.9182663051508948,1.4379895026436555,0.0
50,sc5,8,IW,1.1060050630433813,0.7738998964637283,1.4381102296230344,0.0
50,sc5,8,Commensurate,1.2442978688522515,1.0127620832734205,1.4714618442797012,0.0
50,sc5,8,NPE,0.6257429122924805,-0.0821614356870787,1.3254522034533889,0.0
50,sc5,9,PSPower,1.097355544233001,0.9143049036851263,1.2804061847808756,0.0
50,sc5,9,IW,0.9293069187544072,0.6764463392820571,1.1821674982267574,0.0
50,sc5,9,Commensurate,0.970938288818566,0.7252294262438841,1.2070771395502158,0.0
50,sc5,9,NPE,0.16744734346866608,-0.48961859522619283,0.8076961266852659,0.0
50,sc5,10,PSPower,1.3419443756930307,1.1818029709820768,1.5020857804039847,0.0
50,sc5,10,IW,1.0841700765069453,0.840962399590589,1.3273777534233016,0.0
50,sc5,10,Commensurate,0.9931082916417608,0.7199019707434526,1.2340160956693655,0.0
50,sc5,10,NPE,0.4479072093963623,-0.040718055402266744,0.9244460478971643,0.0
50,sc5,11,PSPower,1.25024763752748,1.0694139223425618,1.4310813527123982,0.0
50,sc5,11,IW,0.9107894920147701,0.6572673694580882,1.164311614571452,0.0
50,sc5,11,Commensurate,1.0126712987230242,0.7547425827527533,1.2605649922436244,0.0
50,sc5,11,NPE,0.09780735522508621,-0.5409077197615874,0.7601511706605645,0.0
50,sc5,12,PSPower,1.1351650542822407,0.9607540857191329,1.3095760228453486,0.0
50,sc5,12,IW,0.771292257520353,0.5371255817031304,1.0054589333375756,0.0
50,sc5,12,Commensurate,0.8639107972739576,0.6191720746184658,1.0903525443587472,0.0
50,sc5,12,NPE,0.15740874409675598,-0.3730383251271552,0.681921065814787,0.0
50,sc5,13,PSPower,0.8831601990784999,0.6712304366105006,1.095089961546499,0.0
50,sc5,13,IW,0.6265498712079036,0.3561156752931075,0.8969840671226997,0.0
50,sc5,13,Commensurate,0.9439092101147554,0.7297406222282148,1.148850430520382,0.0
50,sc5,13,NPE,0.03762337565422058,-0.5376440021456383,0.5973362560048826,0.0
50,sc5,14,PSPower,1.3748867001728842,1.1649386513518807,1.5848347489938877,0.0
50,sc5,14,IW,1.1267730322109066,0.838394856561423,1.4151512078603903,0.0
50,sc5,14,Commensurate,1.3123473456343662,1.0752856182678008,1.5289097434567447,0.0
